Country Code,Country,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F
"90","Guinea","826","Tobacco, unmanufactured","5532","Producer Price (USD/tonne)","USD","733.825106","","674.611001","","636.845750","","623.056851","","613.771375","","606.065435","","562.517061","","539.687686","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90","Guinea","137","Yams","5530","Producer Price (LCU/tonne)","LCU","243000.000000","","248000.000000","","334600.000000","","334600.000000","","334600.000000","","242000.000000","","245038.000000","","373280.000000","","423260.000000","","443880.000000","","497480.000000","","510620.000000","","552850.000000","","228850.000000","","263333.000000","","406000.000000","","358208.000000","",,,,,,,,,,,,,,
"90","Guinea","137","Yams","5531","Producer Price (SLC/tonne)","SLC","243000.000000","","248000.000000","","334600.000000","","334600.000000","","334600.000000","","242000.000000","","245038.000000","","373280.000000","","423260.000000","","443880.000000","","497480.000000","","510620.000000","","552850.000000","","228850.000000","","263333.000000","","406000.000000","","358208.000000","",,,,,,,,,,,,,,
"90","Guinea","137","Yams","5532","Producer Price (USD/tonne)","USD","322.341831","","274.944171","","350.186669","","342.604474","","337.498607","","241.031775","","223.712597","","301.803317","","305.074020","","254.100191","","255.044967","","258.431334","","278.523500","","102.852546","","72.258275","","80.302021","","81.894760","",,,,,,,,,,,,,,
"175","Guinea-Bissau","486","Bananas","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"850000.000000","","850000.000000","",,,,,,,,,,,,
"175","Guinea-Bissau","486","Bananas","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"850000.000000","","850000.000000","",,,,,,,,,,,,
"175","Guinea-Bissau","486","Bananas","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1773.542484","","1898.147631","",,,,,,,,,,,,
"175","Guinea-Bissau","125","Cassava","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,"304000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"175","Guinea-Bissau","125","Cassava","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,"304000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"175","Guinea-Bissau","125","Cassava","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,"515.296334","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"175","Guinea-Bissau","195","Cow peas, dry","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"670500.000000","","750000.000000","",,,,,,,,,,
"175","Guinea-Bissau","195","Cow peas, dry","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"670500.000000","","750000.000000","",,,,,,,,,,
"175","Guinea-Bissau","195","Cow peas, dry","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1497.303514","","1588.343675","",,,,,,,,,,
"175","Guinea-Bissau","1062","Eggs, hen, in shell","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,"2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","",,,,,,,,,,,,
"175","Guinea-Bissau","1062","Eggs, hen, in shell","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,"2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","","2000000.000000","",,,,,,,,,,,,
"175","Guinea-Bissau","1062","Eggs, hen, in shell","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,"3390.107463","","3248.339449","","2809.082269","","2728.369656","","2869.489039","","3441.154370","","3790.809967","","3798.282509","","3824.895448","","4173.041138","","4466.229721","",,,,,,,,,,,,
"175","Guinea-Bissau","1182","Honey, natural","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500000.000000","","500000.000000","",,,,,,,,,,,,
"175","Guinea-Bissau","1182","Honey, natural","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500000.000000","","500000.000000","",,,,,,,,,,,,
"175","Guinea-Bissau","1182","Honey, natural","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1043.260285","","1116.557430","",,,,,,,,,,,,
