"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","All Donors, Total","","Flow Type(s):","Net Disbursements","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Recipient(s)",
"Congo","","0.02","0.19","3.07","5.65","17.76","15.85","25.18","18.8","21.37","17.17","15.39","17.17","23.1","26.62","37.82","55.93","72.64","48.13","80.26","90.15","91.15","80.44","91.94","107.35","96.52","69.02","107.23","137.53","86.6","90.52","217.16","133.27","112.89","122.36","361.85","124.86","429.29","268.59","64.91","140.35","32.04","73.78","57.66","69.15","115.48","1425.48","258.3","118.71","485","283.28","1315.1","261.01","139.25","150.79","105.67"
"Cook Islands","","..","..","..","..","..","..","..","..","..","..","..","..","3.72","4.25","5.75","5.62","6.68","7.49","6.95","7.75","10.66","10.45","10.36","9.29","8.05","9.7","26.42","11.05","11.92","12.52","12.14","13.28","17.07","12.51","14.24","13.04","11.27","10.05","8.08","5.95","4.31","4.8","3.77","5.99","8.99","7.75","32.27","9.31","5.62","7.38","13.44","27.64","21.21","15.88","26.65"
"Costa Rica","","3.59","6.05","9.3","10.12","13.96","15.51","14.13","14.92","11.91","16.51","15.01","16.5","18.62","23.31","23.01","30.03","24.34","25.19","50.61","55.21","64.43","54.3","79.91","251.51","217.06","279.29","194.58","227.77","187.5","226.13","226.98","174.06","140.28","98.99","74.75","29.67","-12.83","-7.95","17.09","-9.86","9.62","0.37","-0.34","29.03","12.77","25.82","31.71","57.95","66.12","108.57","93.95","35.74","28.32","33.31","53.52"
"Cote d'Ivoire","","0.13","3.37","9","8.65","39.01","38.62","35.95","34.02","44.84","49.66","52.58","51.07","48.28","63.32","75.62","99.68","107.45","103.95","129.55","159.92","209.8","123.05","136.43","155.32","122.99","117.36","174.42","240.48","424.73","394.56","686.4","629.9","755.7","763.03","1593.1","1211.84","964.17","446.32","967.08","447.36","350.57","185.91","1067.72","253.67","160.52","91.21","247.14","171.08","625.67","2401.6","844.62","1435.38","2635.33","1271.74","922.47"
"Croatia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","109.66","53.28","133.31","40.36","39.38","48.47","65.51","123.81","142.72","120.7","119.66","123.46","203.82","162.91","241.58","168.83","131.55","..","..","..",".."
"Cuba","","0.23","0.19","0.04","-0.17","0.44","0.58","0.73","0.74","0.65","1.31","1.82","2.48","3.57","5.19","15.23","19.63","45.66","44.93","47.99","47.9","45.28","27.37","35.1","36.84","35.77","41.99","41.78","48.88","61.26","56.84","51.81","36.93","24.4","43.5","46.72","63.23","56.82","65.33","80.08","58.49","43.99","53.7","63.68","75.02","103.54","88.38","93.71","92.8","127.48","115.07","129.13","87.07","87.81","101.08","261.69"
"Cyprus","","24.09","20.23","15.65","11.16","5.24","6.47","1.63","1.41","0.96","3.74","5.86","5.98","7.3","8.08","21.25","31.15","56.14","95.01","47.61","29.91","52.68","43.81","30.88","18.57","16.82","36.86","34.98","41.32","44.21","40.74","38.43","39.76","26.17","33.8","44.03","21.43","22.58","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Democratic People's Republic of Korea","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","50","..","..","..","..","..","..","5.51","5.43","16.4","9.04","8.31","7.73","8.62","10.59","14.06","5.66","13.48","25.57","88.28","105.11","200.78","73.3","117.64","264.77","130.99","161.13","87.56","54.65","99.29","206.19","65.22","78.83","118.59","98.13","109.27","153.44"
"Democratic Republic of the Congo","","82.09","91.16","120.97","111.5","127.02","142.07","93.11","93.8","76.66","83.75","89.36","107.27","121.69","138.92","180.09","258.08","193.12","259.6","315.64","415.36","431.23","392.15","346.47","310.3","300.32","305.36","421.56","673.73","551.73","730.11","895.79","475.28","268.52","177.82","244.81","194.75","166.11","157.61","125.46","133.97","177.12","245.37","1174.98","5416.99","1919.01","1881.7","2197.28","1356.71","1765.97","2356.85","3480.78","5525.2","2847.08","2583.5","2398.2"
"Djibouti","","..","..","..","..","..","..","6.47","9.75","9.71","10.52","11.83","10.65","13.35","19.48","29.06","34.4","28.13","46.23","104.4","23.18","73.04","64.51","58.82","65.43","102.09","81.39","114.93","105.3","92.6","75.02","207.01","107.16","112.19","134.43","128.57","105.37","96.89","85.46","80.98","75.05","72.14","59.3","74.1","79.51","64.14","74.12","115.25","112.61","140.82","166.71","130.99","140.53","148.56","147.8","162.59"
"Dominica","","..","..","..","..","..","..","..","..","..","..","..","..","..","0.09","3.58","7.87","4.33","4.95","7.11","9.05","17.61","14.76","16.76","9.92","16.22","16.59","11.72","15.88","17.88","23.86","19.64","17.63","12.7","8.91","19.59","25","43.13","14.56","19.26","9.84","15.19","19.69","29.6","11.17","29.44","21.12","19.51","19.41","22.21","35.95","32.45","24.62","25.66","20.02","15.6"
"Dominican Republic","","0.17","0.15","20.99","48.02","23.23","78.46","52.12","59.92","63.91","43.51","43.2","31.51","29.47","25.43","20.92","29.87","32.94","33.55","49.8","77.64","124.73","104.93","135.58","99.35","187.74","206.93","91.82","129.01","118.1","143.34","101.66","67.72","65.58","-1.86","61.27","119.36","99.51","71.01","118.23","189.64","56","106.86","144.96","68.86","84.53","80.63","53.8","123.12","155.97","119.07","175.06","225.78","261","147.08","166.98"
"East African Community","","..","..","..","..","..","..","16.4","10.77","-0.07","2.51","3.44","17.59","11.25","11.61","16.01","21.86","19.17","6.7","12.52","3.41","5.45","4.95","4.17","5.23","2.51","10.83","1.84","1.2","0.76","..","..","..","-0.26","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Ecuador","","5.87","10.39","12.58","17.56","20.61","20.76","26.94","28.13","24.57","19.95","23.27","26.65","24.24","35.78","45.52","69.17","74.76","54.15","44","68.81","45.8","58.19","52.39","62.02","134.82","134.8","145.54","227.21","171.56","161.56","159.32","237.47","239.78","233.19","209.46","222.86","250.19","152.02","176.35","148.23","146.14","183.57","219.97","174.93","153.29","225.81","187.77","217.29","230.61","207.85","147.24","161.02","147.9","147.15","160.38"
"Egypt","","178.41","117.77","188.04","207.09","235.3","122.76","97.24","33","25.7","9.9","170.94","138.71","139.94","895.92","1385.28","2520.77","2441.88","2648.18","2704.29","1578.35","1386.38","1295.56","1464.31","1453.33","1770.4","1782.81","1671.87","1723.74","1504.3","1643.34","6056.93","5410.53","3742.41","2486.92","2694.93","2029.9","2193.98","2016.31","1970.33","1625.03","1371.15","1308.21","1318.24","1020.33","1556.35","1036.47","898.74","1132.78","1742.32","1000.03","589.14","416.42","1806.75","5508.16","3532.17"
"El Salvador","","0.72","7.38","6.19","13.22","13.23","14.46","20.85","15.22","13.61","12.7","14.85","12.74","18.15","22.8","29.4","37.33","29.72","45.09","55.13","59.38","96.36","167.2","218.56","290.23","261.06","345.03","336.13","420.93","415.15","440.35","347.3","294.92","403.72","399.46","305.12","295.96","300.77","278.54","180.94","183.09","179.66","237.52","233.29","192.15","216.4","204.46","162.92","88.07","233.35","275.96","280.35","277.75","220.37","169.1","97.95"
